"Saint,Birth Location: Specific,Birth Region,Birth Country,Death Location: Specific,Death Region,Death Country"
"Ninian,null,null,Britain,null,null,null"
"Columba,Donegal,Ulster,Ireland,Iona,Argyllshire,Scotland "
"Kentigern,null,Fifeshire,Scotland ,Glasgow,Lanarkshire,Scotland "
"Servanus,null,null,Israel,Dunning,Perthshire,Scotland "
"Margaret,null,null,Hungary,Edinburgh,Midlothian,Scotland "
"Brigid,Uinmeras,Leinster,Ireland,Kildare,Leinster ,Ireland"
"Ite,Waterford,Munster,Ireland,Killeedy,Munster,Ireland "
"Abban,null,Leinster,Ireland,null,null,null"
"Bairre of Cork,Cork,Munster,Ireland,Cork,Munster,Ireland"
"Berach,Leitrim,Connaught,Ireland,Cluain Coirpthe,Connaught,Ireland"
"Ciaran of Saigher,West Cork,Munster,Ireland,Saighir,Leinster ,Ireland"
"Coemgen,Glendalough,Leinster,Ireland,Glendalough,Leinster ,Ireland"
"Maedoc,null,Connaught,Ireland,Port na Bfinnlec,Leinster ,Ireland"
"Mochuda,River Maine,Ulster,Ireland,Lismore,Munster,Ireland"
"Ruadan,null,Munster,Ireland,null,null,null"
"Darerca,Louth,Leinster,Ireland,Armagh,Ulster,Ireland"
"Samthann,null,Ulster,Ireland,Clonbroney,Leinster ,Ireland"
"Palladius,null,null,null ,Fordoun,Aberdeenshire,Scotland "
"Brendan of Clonfert,null,Munster,Ireland ,Clonfert,Connaught,Ireland"
"Drostanus,null,null,null ,null,null,null"
"Gillenius,null,Leinster,Ireland,Bobbi,Umbria,Italy"
"Colman Ela,null,Leinster,Ireland,null,null,Ireland"
"Adamnan,Donegal,Ulster,Ireland,Iona,Argyllshire,Scotland "
"Cuthbert,null,null,null ,Lindisfarne,Northumberland,England"